Post ID,Page ID,Page name,Title,Description,Duration (sec),Publish time,Caption type,Permalink,Is crosspost,Is share,Post type,Languages,Custom labels,Funded content status,Data comment,Date,Views,Reach,"Reactions, Comments and Shares",Reactions,Comments,Shares,Negative feedback from users: Hide all,Negative feedback from users: Hide,Total clicks,Other Clicks,Matched Audience Targeting Consumption (Photo Click),Link Clicks,Matched Audience Targeting Consumption (Video Click),Approximate content monetization earnings,Seconds viewed,Average Seconds viewed,Estimated earnings (USD),Ad CPM (USD),Ad impressions
122153486036654483,61569634500241,Juan365 Live Stream,"Happy 19K, Juankada! 🎉 Maraming salamat sa walang sawang suporta. Konti na lang — 20K na tayo! Tuloy-tuloy lang ang saya! 🧡✨

Roll call! Comment “COUNT ME IN+member ID ” kung isa ka sa OG 19K fam!

#juanababes #Juan365livestream #Juan365PH
#AllInJuanSaSaya #JuanKada #Juan365",,0,12/04/2025 23:38,,https://www.facebook.com/juan365livestream/posts/pfbid02F7DwHJMnxEp65ay1zYQogdWV8Dacn1vGV6uPm7ptgJkfo2bcVjdGnWK7pQG99fLWl,0,0,Photos,,,,,Lifetime,2411.0,1016.0,407.0,203.0,150.0,54.0,,,153.0,141.0,12.0,,,,,,,,
122169745010762707,61572881214141,Juan365,"Today is the day! 🎉
Mamaya na ang Surpresa ni Juan! Comment 'Ready na ako' kung excited ka na! 🧡✨

Huwag pahuli—join the fun with Juan!

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada #SurpresaniJuanVer2",,0,12/04/2025 22:00,,https://www.facebook.com/Juan365officialpage/posts/pfbid0wdeMULfUkuEhqmUvmgFyEYGg11Fr82WhXrv6abexE8gTqJcxVHhZzziYKGGDAjEvl,0,0,Photos,,,,,Lifetime,43600.0,24852.0,1174.0,633.0,425.0,116.0,5.0,3.0,1523.0,1291.0,177.0,55.0,,0.39,,,,,
122153476118654483,61569634500241,Juan365 Live Stream,"JUANKADA, TONIGHT’S THE NIGHT! 🔥
The GRAND DRAW for Surpresa ni Juan is happening later — and YOU might be the lucky one! 🎁

Livestream starts at 6PM SHARP!
Don’t miss the thrill, the fun, and the big reveal! 🙌💙

#juanababes #Juan365livestream #Juan365PH #AllInJuanSaSaya #JuanKada #Juan365",,0,12/04/2025 20:28,,https://www.facebook.com/juan365livestream/posts/pfbid0GvwVJhqo3mZkm4CZN9vCFwMFdgAVVjBsqk4BShZFB5UbRDuUBc86pyiqYBwRCVKzl,0,0,Photos,,,,,Lifetime,6459.0,3397.0,430.0,226.0,129.0,75.0,,,292.0,253.0,39.0,,,,,,,,
122169730604762707,61572881214141,Juan365,"Shoutout sa ultimate Juankada this week! 🙌 I-flex mo na ang Top Fan badge mo at may pasurpresa si Juan para sayo!

Comment #JuankadaFan + User ID para makasali

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",,0,12/04/2025 20:00,,https://www.facebook.com/Juan365officialpage/posts/pfbid02ipFVFZHRutmkPhJod5grDd2u4mVkUtHpLTjsB2q8mngPiEhHKL9FaQUooB3zui6Pl,0,0,Photos,,,,,Lifetime,47009.0,25617.0,1665.0,804.0,712.0,149.0,4.0,1.0,1669.0,1471.0,175.0,23.0,,0.46,,,,,
122169709076762707,61572881214141,Juan365,"I-share mo na 'to, ’wag kang mahiya at baka ikaw na ang susunod na swertehin!

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",,0,12/04/2025 17:00,,https://www.facebook.com/Juan365officialpage/posts/pfbid0nFn5fpSjdxjgFn91Yp6jSWf1NLV4RaCLDyMC55UqyCzQ9WLZZivjasLypga8mf9gl,0,0,Photos,,,,,Lifetime,34730.0,20231.0,1297.0,484.0,313.0,500.0,4.0,,824.0,717.0,107.0,,,0.33,,,,,
122169632084762707,61572881214141,Juan365,"Excited ka na ba sa surpresa? BUKAS NA ’YAN! 🎉🔥

May chance pa para humabol, kaya huwag na magpahuli—mas masaya kung kasama ka namin LIVE! 🎥✨

Kita-kits bukas, Juankada! 🙌🧡

#Juan365PH #AllInJuanSaSaya #JuanKada #SurpresaniJuanVer2","Excited ka na ba sa surpresa? BUKAS NA ’YAN! 🎉🔥

May chance pa para humabol, kaya huwag na magpahuli—mas masaya kung kasama ka namin LIVE! 🎥✨

Kita-kits bukas, Juankada! 🙌🧡

#Juan365PH #AllInJuanSaSaya #JuanKada #SurpresaniJuanVer2",11,12/04/2025 04:00,auto,https://www.facebook.com/reel/1310106240871277/,1,0,Videos,,,,,Lifetime,77563.0,69954.0,1448.0,874.0,363.0,211.0,,,721.0,718.0,,3.0,,0.12,190137.546,2.555,0.0,,
122153420438654483,61569634500241,Juan365 Live Stream,"Comment your Christmas hiling sa freedom wall — Malay mo, ikaw ang mabunot at matupad ang wish mo! 🎁😉

Your wish + member ID.

#juanababes #Juan365livestream #Juan365PH
#AllInJuanSaSaya #JuanKada #Juan365",,0,12/04/2025 02:00,,https://www.facebook.com/juan365livestream/posts/pfbid021vyJR2ixE2wPB5BWgfBbNrYmj7q9wg11bADrQWzANAXBTf49sAC4ahi8qPJYUvYEl,0,0,Photos,,,,,Lifetime,3632.0,1578.0,529.0,219.0,224.0,86.0,,,205.0,184.0,21.0,,,,,,,,
122169620414762707,61572881214141,Juan365,"Throwback Thursday? Nope — it’s a Lucky Juankada Day! 

Congrats sa 5 LUCKY WINNERS ngayong araw! 
React ❤️ kung gusto mo ikaw na ang next JuanKada!

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada","Throwback Thursday? Nope — it’s a Lucky Juankada Day! 

Congrats sa 5 LUCKY WINNERS ngayong araw! 
React ❤️ kung gusto mo ikaw na ang next JuanKada!

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",11,12/04/2025 02:00,auto,https://www.facebook.com/reel/1832624477400350/,1,0,Videos,,,,,Lifetime,14677.0,10146.0,930.0,566.0,280.0,84.0,,,518.0,508.0,,10.0,,0.04,58291.685,4.966,0.0,,
122153416916654483,61569634500241,Juan365 Live Stream,"Follow Juana Babe Sena💙 and comment your Users ID na!

#juanababes #Juan365PH #AllInJuanSaSaya #JuanKada #Juan365 #TheResponsibleJuan",,0,12/04/2025 01:21,,https://www.facebook.com/juan365livestream/posts/pfbid02mGfGRqTYWLeQpbpcSPvLT77PZiYXqq4q9k7za3v38hNGxLkDqwhY4oKfxrSs3q4el,0,1,Photos,,,,,Lifetime,1627.0,709.0,175.0,105.0,65.0,5.0,,,116.0,96.0,20.0,,,,,,,,
122153413736654483,61569634500241,Juan365 Live Stream,"Switched to Christmas mode! 🎅🎁
Spread the holiday love and celebrate with us at Juan365 Livestream!

#juanababes #Juan365livestream #Juan365PH",,0,12/04/2025 00:36,,https://www.facebook.com/photo.php?fbid=122153413736654483&set=a.122097243494654483&type=3,0,0,Photos,,,,,Lifetime,2311.0,1058.0,206.0,139.0,52.0,15.0,,,95.0,91.0,4.0,,,,,,,,
122169606656762707,61572881214141,Juan365,"Sa dami ng choices, dito ka na sa sure! No doubts, no worries,  puro fun lang! Comment ‘JUANKADA!’ kung G ka!

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",,0,12/04/2025 00:00,,https://www.facebook.com/Juan365officialpage/posts/pfbid02QAYmUutynP3nz3U8SkhGCuMpC46ZdR1q3B5VqmFPCqFpKWHPTYQWD1bzkdwNdiVl,0,0,Photos,,,,,Lifetime,41273.0,23240.0,734.0,382.0,285.0,67.0,1.0,1.0,851.0,728.0,123.0,,,0.11,,,,,
122153409536654483,61569634500241,Juan365 Live Stream,"Hindi kumpleto ang linggo mo kapag… hindi ka naglalaro sa Juan365! 🎰 Pero relax, play responsibly lang ha! 😉

Kayo, Juankada? 🤩 Comment niyo naman  kung paano nakukompleto ni juan365 ang linggo nyo.

#juanababes #Juan365livestream #Juan365PH
#AllInJuanSaSaya #JuanKada #Juan365",,0,12/03/2025 23:07,,https://www.facebook.com/juan365livestream/posts/pfbid02m3mopgm37xUXfCPBtj9QWDg7fw4CJE6tvb8e9CqLfFQ7HgKpGPrCQ4EsvCZXfbuEl,0,0,Photos,,,,,Lifetime,1850.0,849.0,227.0,123.0,72.0,32.0,,,72.0,68.0,4.0,,,,,,,,
122169575834762707,61572881214141,Juan365,"Fill your heart with joy and cheer! ✨
Juankada, share your holiday cheer, comment your Christmas emoji of the day!

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",,0,12/03/2025 20:00,,https://www.facebook.com/Juan365officialpage/posts/pfbid02pxpZEoDPMoAmL9ET9Ai4bksvKxA4MTJEmjT2tSWckxew8XNeBcJt31UzbFvPVyz6l,0,0,Photos,,,,,Lifetime,32310.0,18763.0,825.0,435.0,280.0,110.0,1.0,1.0,630.0,513.0,94.0,23.0,,0.32,,,,,
122153389724654483,61569634500241,Juan365 Live Stream,"Juankada, we dare you! 😎🎉
Join our group and invite your friends — mas masaya pag sama-sama!

Tara na, sali na!

#juanababes #Juan365livestream #Juan365PH
#AllInJuanSaSaya #JuanKada #Juan365",,0,12/03/2025 18:04,,https://www.facebook.com/juan365livestream/posts/pfbid02tDD5SsQpUgDWbkJSM1h1nf1qUrPcSXeDHMv5myVE4d4dhHMgkrzdzNhPU28AJ7mLl,0,0,Photos,,,,,Lifetime,3246.0,1309.0,266.0,167.0,55.0,44.0,,,100.0,75.0,24.0,1.0,,,,,,,
122169552842762707,61572881214141,Juan365,"I-comment mo na ang wish mo and tag a Juankada! Baka wish granted vibes na ‘to!

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",,0,12/03/2025 17:00,,https://www.facebook.com/Juan365officialpage/posts/pfbid021pkCj1RbdShWfBMsEj3EhbSHamg7TeJtpSjrq5DtSuLg81dAEW3jGMo7bjM7jmxUl,0,0,Photos,,,,,Lifetime,71603.0,42716.0,1948.0,740.0,830.0,378.0,1.0,1.0,2031.0,1767.0,255.0,9.0,,0.7,,,,,
122153358812654483,61569634500241,Juan365 Live Stream,"Celebrating all the winners today! 🎉
Keep the fun alive, play with heart, and stay responsible! 💖🎮
#juanababes  #Juan365livestream  #Juan365PH 
#AllInJuanSaSaya  #JuanKada  #Juan365  #TheResponsibleJuan",,0,12/03/2025 07:00,,https://www.facebook.com/juan365livestream/posts/pfbid067RFiB8ndrZhqpqn3XuigMK4MJWv9AGgcnrsowJcyqDgJUQXqDXWrTH92P81BXcYl,0,0,Photos,,,,,Lifetime,2612.0,1251.0,240.0,136.0,73.0,31.0,,,83.0,67.0,16.0,,,,,,,,
122153349980654483,61569634500241,Juan365 Live Stream,"Mood check, Juankada! 😆🎮 Comment mo yan with a GIF — let’s see!

#juanababes #Juan365livestream #Juan365PH #AllInJuanSaSaya #JuanKada #Juan365",,0,12/03/2025 05:00,,https://www.facebook.com/juan365livestream/posts/pfbid0rjv8worzrRZdjQqXGFioC1BG5HS2eCTqDP7S6NUTcHLyGiTBVL7VvzFCz2jQWKsXl,0,0,Photos,,,,,Lifetime,2307.0,1071.0,247.0,136.0,87.0,24.0,,,119.0,106.0,13.0,,,,,,,,
122169476426762707,61572881214141,Juan365,"Hindi lang mga bagay ang pwedeng maipon — minsan mahalaga rin ang growth at learnings.
Ikaw, anong naipon mo ngayong 2025?
👉 Drop your answer in the comments!

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",,0,12/03/2025 04:00,,https://www.facebook.com/Juan365officialpage/posts/pfbid02724DtAjnztbk7MUhs7vxa8qt9nU2ULwHv1GRyGurU4vPrsjsrqppoJBRTvT3v4WBl,0,0,Photos,,,,,Lifetime,45532.0,26526.0,1081.0,422.0,372.0,287.0,2.0,,1017.0,808.0,131.0,78.0,,0.46,,,,,
122153337368654483,61569634500241,Juan365 Live Stream,"Mas masaya ’pag mas marami — share the Juan365 livestream page now! 🤝📲💫

#juanababes #Juan365livestream #Juan365PH #AllInJuanSaSaya #JuanKada #Juan365",,0,12/03/2025 03:30,,https://www.facebook.com/juan365livestream/posts/pfbid0F9dMAyrzov5y96SuCiGJrC1P1qV7aTcrxFBhuvzQrfeNHLgt7artQv9vtywAo7Zql,0,0,Photos,,,,,Lifetime,1734.0,829.0,145.0,103.0,26.0,16.0,,,84.0,58.0,26.0,,,,,,,,
122169463274762707,61572881214141,Juan365,"Huwag pahuli sa saya, JuanKada! 🔥❤️

React HEART tapos SHARE mo na ‘to — sama ka na sa JuanSports bago ka ma-late!

#Juan365PH #AllInJuanSaSaya #JuanKada #JuanSports",,0,12/03/2025 01:52,,https://www.facebook.com/Juan365officialpage/posts/pfbid06my9Y1dvqDqqNxRxDwnATmZrxcn7Rw58qqkSNChiC26EssrgQkfSPswTGiZhdgvGl,0,1,Videos,,,,,Lifetime,,8403.0,234.0,189.0,45.0,0.0,,,112.0,112.0,,,,0.0,,,,,
816051317904128,61569634500241,Juan365 Live Stream,Juana babe Abi and Ashley,"RE LIVE
pasok na sa live Juankada! 💬Real-time chikahan with your@[61580716220863:2048:Juana Babe Abi]i and@[61580337497087:2048:Juana Babe Ashley]y💖

#juanababes #Juan365livestream #Juan365PH #AllInJuanSaSaya #JuanKada #Juan365 #TheResponsibleJuan",2282,12/03/2025 01:51,uploaded,https://www.facebook.com/juan365livestream/videos/816051317904128/,0,0,Live,,,,,Lifetime,2347.0,1760.0,4155.0,586.0,3364.0,205.0,,,228.0,215.0,,13.0,,,181734.376,107.662,,0.0,0.0
122169451364762707,61572881214141,Juan365,"LIVE NA ULIT TAYO JUANKADA! Ready na ba kayo sa solid na kulitan at walang humpay na action? Tara, sama na! 🥳

#Juan365PH #Juan365 #JuanKada #AllInJuanSaSaya #Juan365livestream",,0,12/03/2025 00:29,,https://www.facebook.com/Juan365officialpage/posts/pfbid0BckNAJhbWcqYBHs7Fx5PYniZorqqLYKmWgr4xG25mddiisyAVQg9i8gqNhA1anuwl,0,1,Live,,,,,Lifetime,,9484.0,334.0,261.0,73.0,0.0,,,969.0,969.0,,,,0.0,,,,,
813997361636485,61569634500241,Juan365 Live Stream,Juanababe Ashley and Abi,"Vibe check mga ka Juankada! Pasok na sa live at maki-hype with @[61580716220863:2048:Juana Babe Abi] and @[61580337497087:2048:Juana Babe Ashley] 🥰

#juanababes #Juan365livestream #Juan365PH #AllInJuanSaSaya #JuanKada #Juan365 #TheResponsibleJuan",5654,12/03/2025 00:04,uploaded,https://www.facebook.com/juan365livestream/videos/813997361636485/,0,0,Live,,,,,Lifetime,12816.0,12721.0,6425.0,2343.0,2093.0,1989.0,,,1360.0,1359.0,,1.0,,,573188.75,58.369,,0.0,0.0
122169446516762707,61572881214141,Juan365,"Game, Juankada — anong hair ang na-align mo today? 😂 Pakita mo sa comments + User ID!

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada","Game, Juankada — anong hair ang na-align mo today? 😂 Pakita mo sa comments + User ID!

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",13,12/03/2025 00:01,,https://www.facebook.com/reel/1166267379004351/,1,0,Videos,,,,,Lifetime,65245.0,57779.0,1471.0,722.0,653.0,96.0,,,1766.0,1766.0,,,,0.1,182045.947,3.109,0.0,,
122169438830762707,61572881214141,Juan365,"Congratulations sa 10 lucky Juankada! Enjoy your 100 FREE Juan365 Credits!

Follow Juan365 para updated ka sa mga susunod na ganap!

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada","Congratulations sa 10 lucky Juankada! Enjoy your 100 FREE Juan365 Credits!

Follow Juan365 para updated ka sa mga susunod na ganap!

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",11,12/02/2025 22:59,,https://www.facebook.com/reel/872561911799935/,0,0,Videos,,,,,Lifetime,11641.0,8730.0,470.0,314.0,109.0,47.0,,,406.0,406.0,,,,0.03,42322.168,4.513,0.0,,
122153302172654483,61569634500241,Juan365 Live Stream,"Juankada, may slight adjustment lang po tayo sa schedule ng live ⏰

From 3PM, magiging 4PM–6PM na po tayo.

Kita-kits mamaya! 🧡✨",,0,12/02/2025 22:49,,https://www.facebook.com/juan365livestream/posts/pfbid0J51fuKTSi8zNKS8GRtzQLL3hYqvg5FfQHnmjA4WQ6MeFr9Xbu3o1tdbxqjiKfPrpl,0,1,Photos,,,,,Lifetime,2002.0,832.0,162.0,116.0,36.0,10.0,,,45.0,39.0,6.0,,,,,,,,
122169419582762707,61572881214141,Juan365,"🔥 2 DAYS TO GO! 🔥

Kasali ka na ba sa Surpresa ni Juan? 🤩

Comment mo naman kung ano ang pinaka minamanifest mong papremyo ni Juan! 

Kung ‘di ka pa kasali, sumali na at maki-saya sa ultimate surprises! 🚀🎁

#Juan365PH #AllInJuanSaSaya #JuanKada #SurpresaniJuanVer2","🔥 2 DAYS TO GO! 🔥

Kasali ka na ba sa Surpresa ni Juan? 🤩

Comment mo naman kung ano ang pinaka minamanifest mong papremyo ni Juan! 

Kung ‘di ka pa kasali, sumali na at maki-saya sa ultimate surprises! 🚀🎁

#Juan365PH #AllInJuanSaSaya #JuanKada #SurpresaniJuanVer2",16,12/02/2025 20:01,,https://www.facebook.com/reel/1349896946783836/,1,0,Videos,,,,,Lifetime,38220.0,34528.0,1058.0,613.0,308.0,137.0,,,350.0,348.0,,2.0,,0.06,93517.141,2.688,0.0,,
122153284970654483,61569634500241,Juan365 Live Stream,"Red-hot energy coming your way! 🔥📣

Catch JUANABABE Abi & Ash LIVE on December 3, 3:00–5:00 PM! 

#juanababes #Juan365livestream #AllInJuanSaSaya #JuanKada #Juan365",,0,12/02/2025 17:30,,https://www.facebook.com/juan365livestream/posts/pfbid0AVLDJ9FhFiVUKLojHQH41KKMm1hzrMv4uEqvCb8agN7VvTKbVBGHNYmjHaUtkPvcl,0,0,Photos,,,,,Lifetime,4784.0,2255.0,524.0,338.0,140.0,46.0,,,226.0,196.0,30.0,,,,,,,,
122169403778762707,61572881214141,Juan365,"May your days be merry and bright! ✨
Spread the good vibes, i-tag ang Juankada na nagpapasaya sa iyong holidays! 🎄

Huwag pahuli—join the fun with Juan! Message us to guide you, Juankada 🧑‍🌾🎉

#Juan365 #Juan365PH #AllInJuanSaSaya #JuanKada",,0,12/02/2025 17:00,,https://www.facebook.com/Juan365officialpage/posts/pfbid022UKAQj44zJKBzcmysf3EFDaaHr8vjDucbbTPW3Hmo1fi4C9LNb37EoGq91NC6HJjl,0,0,Photos,,,,,Lifetime,37180.0,22709.0,1004.0,415.0,235.0,354.0,2.0,,613.0,477.0,106.0,30.0,,0.38,,,,,
